task_id,mission_id,source_mission_id,goal_level,mission_split,split_index,target_zone,furnace_condition,pipeline_condition,conduit_condition,archive_condition,basin_condition,template_id,gold_action_sequence
EFGHI,L1-0144,efghi_state_0131,1,train,1,conduit,bad_quality,low_resource,low_resource,ideal,low_resource,L1_CON_L,"C[ROUTE, INSULATE, DATA, SEAL]"
EFGHI,L1-0207,efghi_state_0005,1,train,2,furnace,low_resource,ideal,ideal,low_resource,low_resource,L1_FUR_L,"C[FLOW, IGNITE, SMELT, TEMPER]"
EFGHI,L1-0248,efghi_state_0073,1,train,3,pipeline,bad_quality,low_resource,ideal,ideal,ideal,L1_PIP_L,"C[PUMP, WIRE, PRESSURIZE]"
EFGHI,L1-0017,efghi_state_0193,1,train,4,archive,ideal,low_resource,ideal,bad_quality,ideal,L1_ARC_B,"R[FLUID, CATALOG]"
EFGHI,L1-0239,efghi_state_0091,1,train,5,pipeline,low_resource,bad_quality,ideal,ideal,ideal,L1_PIP_B,"R[PUMP, WIRE, PRESSURIZE]"
EFGHI,L1-0134,efghi_state_0148,1,train,6,conduit,low_resource,low_resource,bad_quality,ideal,ideal,L1_CON_B,"R[ROUTE, INSULATE, DATA, SEAL]"
EFGHI,L1-0199,efghi_state_0009,1,train,7,furnace,low_resource,ideal,ideal,bad_quality,bad_quality,L1_FUR_L,"C[FLOW, IGNITE, SMELT, TEMPER]"
EFGHI,L1-0204,efghi_state_0002,1,train,8,furnace,low_resource,ideal,ideal,ideal,low_resource,L1_FUR_L,"C[FLOW, IGNITE, SMELT, TEMPER]"
EFGHI,L1-0130,efghi_state_0147,1,train,9,conduit,low_resource,ideal,bad_quality,ideal,bad_quality,L1_CON_B,"R[ROUTE, INSULATE, DATA, SEAL]"
EFGHI,L1-0022,efghi_state_0201,1,train,10,archive,low_resource,ideal,bad_quality,bad_quality,ideal,L1_ARC_B,"R[FLUID, CATALOG]"
EFGHI,L1-0040,efghi_state_0165,1,train,11,archive,ideal,ideal,bad_quality,low_resource,ideal,L1_ARC_L,"C[FLUID, CATALOG]"
EFGHI,L1-0053,efghi_state_0175,1,train,12,archive,low_resource,low_resource,ideal,low_resource,ideal,L1_ARC_L,"C[FLUID, CATALOG]"
EFGHI,L1-0084,efghi_state_0242,1,train,13,basin,ideal,bad_quality,bad_quality,low_resource,low_resource,L1_BAS_L,"C[DRAIN, HEAT, CYCLE]"
EFGHI,L1-0237,efghi_state_0098,1,train,14,pipeline,low_resource,bad_quality,ideal,bad_quality,low_resource,L1_PIP_B,"R[PUMP, WIRE, PRESSURIZE]"
EFGHI,L1-0113,efghi_state_0154,1,train,15,conduit,bad_quality,ideal,bad_quality,ideal,ideal,L1_CON_B,"R[ROUTE, INSULATE, DATA, SEAL]"
EFGHI,L1-0014,efghi_state_0190,1,train,16,archive,ideal,ideal,ideal,bad_quality,ideal,L1_ARC_B,"R[FLUID, CATALOG]"
EFGHI,L1-0182,efghi_state_0043,1,train,17,furnace,bad_quality,ideal,low_resource,bad_quality,ideal,L1_FUR_B,"R[FLOW, IGNITE, SMELT, TEMPER]"
EFGHI,L1-0185,efghi_state_0037,1,train,18,furnace,bad_quality,ideal,low_resource,ideal,ideal,L1_FUR_B,"R[FLOW, IGNITE, SMELT, TEMPER]"
EFGHI,L1-0138,efghi_state_0134,1,train,19,conduit,bad_quality,bad_quality,low_resource,ideal,low_resource,L1_CON_L,"C[ROUTE, INSULATE, DATA, SEAL]"
EFGHI,L1-0005,efghi_state_0208,1,train,20,archive,bad_quality,ideal,ideal,bad_quality,ideal,L1_ARC_B,"R[FLUID, CATALOG]"
