task_id,mission_id,source_mission_id,goal_level,mission_split,split_index,target_zone,atmosphere_condition,biomass_condition,geosphere_condition,reservoir_condition,template_id,gold_action_sequence
ABCD,L1-0045,abcd_state_0050,1,train,1,geosphere,low_resource,low_resource,bad_quality,ideal,L1_GEO_B,"R[DRILL, WATER, REFINE]"
ABCD,L1-0021,abcd_state_0035,1,train,2,biomass,bad_quality,bad_quality,ideal,low_resource,L1_BIO_B,"R[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0029,abcd_state_0025,1,train,3,biomass,bad_quality,low_resource,ideal,ideal,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0044,abcd_state_0049,1,train,4,geosphere,low_resource,ideal,bad_quality,ideal,L1_GEO_B,"R[DRILL, WATER, REFINE]"
ABCD,L1-0032,abcd_state_0019,1,train,5,biomass,ideal,low_resource,ideal,ideal,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0028,abcd_state_0027,1,train,6,biomass,bad_quality,low_resource,ideal,bad_quality,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0031,abcd_state_0021,1,train,7,biomass,ideal,low_resource,ideal,bad_quality,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0001,abcd_state_0018,1,train,8,atmosphere,bad_quality,ideal,bad_quality,bad_quality,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0010,abcd_state_0009,1,train,9,atmosphere,low_resource,ideal,bad_quality,bad_quality,L1_ATM_L,"C[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0042,abcd_state_0047,1,train,10,geosphere,ideal,low_resource,bad_quality,ideal,L1_GEO_B,"R[DRILL, WATER, REFINE]"
ABCD,L1-0070,abcd_state_0060,1,train,11,reservoir,ideal,low_resource,bad_quality,low_resource,L1_RES_L,"C[TIME, FILTER, AIR]"
ABCD,L1-0051,abcd_state_0038,1,train,12,geosphere,ideal,low_resource,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0049,abcd_state_0039,1,train,13,geosphere,ideal,bad_quality,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0053,abcd_state_0040,1,train,14,geosphere,low_resource,ideal,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0064,abcd_state_0063,1,train,15,reservoir,ideal,bad_quality,bad_quality,low_resource,L1_RES_L,"C[TIME, FILTER, AIR]"
ABCD,L1-0006,abcd_state_0011,1,train,16,atmosphere,bad_quality,ideal,ideal,low_resource,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0047,abcd_state_0043,1,train,17,geosphere,bad_quality,ideal,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0009,abcd_state_0014,1,train,18,atmosphere,bad_quality,ideal,low_resource,low_resource,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0054,abcd_state_0041,1,train,19,geosphere,low_resource,low_resource,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0050,abcd_state_0037,1,train,20,geosphere,ideal,ideal,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
ABCD,L1-0007,abcd_state_0015,1,train,21,atmosphere,bad_quality,ideal,low_resource,bad_quality,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0002,abcd_state_0016,1,train,22,atmosphere,bad_quality,ideal,bad_quality,ideal,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0065,abcd_state_0061,1,train,23,reservoir,ideal,bad_quality,ideal,low_resource,L1_RES_L,"C[TIME, FILTER, AIR]"
ABCD,L1-0055,abcd_state_0072,1,train,24,reservoir,ideal,bad_quality,bad_quality,bad_quality,L1_RES_B,"R[TIME, FILTER, AIR]"
ABCD,L1-0034,abcd_state_0024,1,train,25,biomass,low_resource,low_resource,ideal,bad_quality,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0067,abcd_state_0057,1,train,26,reservoir,ideal,ideal,bad_quality,low_resource,L1_RES_L,"C[TIME, FILTER, AIR]"
ABCD,L1-0062,abcd_state_0067,1,train,27,reservoir,ideal,low_resource,ideal,bad_quality,L1_RES_B,"R[TIME, FILTER, AIR]"
ABCD,L1-0030,abcd_state_0026,1,train,28,biomass,bad_quality,low_resource,ideal,low_resource,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0059,abcd_state_0064,1,train,29,reservoir,ideal,ideal,ideal,bad_quality,L1_RES_B,"R[TIME, FILTER, AIR]"
ABCD,L1-0018,abcd_state_0005,1,train,30,atmosphere,low_resource,ideal,low_resource,low_resource,L1_ATM_L,"C[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0035,abcd_state_0022,1,train,31,biomass,low_resource,low_resource,ideal,ideal,L1_BIO_L,"C[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0063,abcd_state_0068,1,train,32,reservoir,ideal,low_resource,low_resource,bad_quality,L1_RES_B,"R[TIME, FILTER, AIR]"
ABCD,L1-0008,abcd_state_0013,1,train,33,atmosphere,bad_quality,ideal,low_resource,ideal,L1_ATM_B,"R[PLANT, LIGHT, PHOTOSYNTHESIS]"
ABCD,L1-0068,abcd_state_0055,1,train,34,reservoir,ideal,ideal,ideal,low_resource,L1_RES_L,"C[TIME, FILTER, AIR]"
ABCD,L1-0023,abcd_state_0028,1,train,35,biomass,ideal,bad_quality,ideal,ideal,L1_BIO_B,"R[SOW, MINERAL, FERTILIZE]"
ABCD,L1-0052,abcd_state_0042,1,train,36,geosphere,low_resource,bad_quality,low_resource,ideal,L1_GEO_L,"C[DRILL, WATER, REFINE]"
