task_id,mission_id,source_mission_id,goal_level,mission_split,split_index,target_zone,furnace_condition,pipeline_condition,conduit_condition,archive_condition,basin_condition,template_id,gold_action_sequence,t9_split
EFGHI,L1-0008,efghi_sequence_0001,1,train,1,furnace,low_resource,ideal,ideal,ideal,ideal,L1_FUR_L,"C[FLOW, IGNITE, SMELT, TEMPER]",probe
EFGHI,L1-0005,efghi_sequence_0006,1,train,2,conduit,ideal,ideal,bad_quality,ideal,ideal,L1_CON_B,"R[ROUTE, INSULATE, DATA, SEAL]",probe
EFGHI,L1-0006,efghi_sequence_0005,1,train,3,conduit,ideal,ideal,low_resource,ideal,ideal,L1_CON_L,"C[ROUTE, INSULATE, DATA, SEAL]",probe
EFGHI,L1-0010,efghi_sequence_0003,1,train,4,pipeline,ideal,low_resource,ideal,ideal,ideal,L1_PIP_L,"C[PUMP, WIRE, PRESSURIZE]",probe
EFGHI,L1-0003,efghi_sequence_0010,1,train,5,basin,ideal,ideal,ideal,ideal,bad_quality,L1_BAS_B,"R[DRAIN, HEAT, CYCLE]",probe
EFGHI,L1-0007,efghi_sequence_0002,1,train,6,furnace,bad_quality,ideal,ideal,ideal,ideal,L1_FUR_B,"R[FLOW, IGNITE, SMELT, TEMPER]",probe
EFGHI,L1-0002,efghi_sequence_0007,1,train,7,archive,ideal,ideal,ideal,low_resource,ideal,L1_ARC_L,"C[FLUID, CATALOG]",
EFGHI,L1-0001,efghi_sequence_0008,1,test,1,archive,ideal,ideal,ideal,bad_quality,ideal,L1_ARC_B,"R[FLUID, CATALOG]",
EFGHI,L1-0009,efghi_sequence_0004,1,test,2,pipeline,ideal,bad_quality,ideal,ideal,ideal,L1_PIP_B,"R[PUMP, WIRE, PRESSURIZE]",probe
EFGHI,L1-0004,efghi_sequence_0009,1,test,3,basin,ideal,ideal,ideal,ideal,low_resource,L1_BAS_L,"C[DRAIN, HEAT, CYCLE]",probe
EFGHI,L2-0009,efghi_sequence_0022,2,train,1,conduit,ideal,ideal,bad_quality,bad_quality,ideal,L2_CON_BB,"R[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL]",
EFGHI,L2-0007,efghi_sequence_0028,2,train,2,basin,bad_quality,ideal,ideal,ideal,low_resource,L2_BAS_LB,"C[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L2-0004,efghi_sequence_0023,2,train,3,archive,ideal,ideal,ideal,low_resource,low_resource,L2_ARC_LL,"C[C[DRAIN, HEAT, CYCLE], CATALOG]",
EFGHI,L2-0019,efghi_sequence_0016,2,train,4,pipeline,ideal,low_resource,bad_quality,ideal,ideal,L2_PIP_LB,"C[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE]",
EFGHI,L2-0010,efghi_sequence_0021,2,train,5,conduit,ideal,ideal,bad_quality,low_resource,ideal,L2_CON_BL,"R[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL]",probe
EFGHI,L2-0002,efghi_sequence_0025,2,train,6,archive,ideal,ideal,ideal,bad_quality,low_resource,L2_ARC_BL,"R[C[DRAIN, HEAT, CYCLE], CATALOG]",probe
EFGHI,L2-0001,efghi_sequence_0026,2,train,7,archive,ideal,ideal,ideal,bad_quality,bad_quality,L2_ARC_BB,"R[R[DRAIN, HEAT, CYCLE], CATALOG]",probe
EFGHI,L2-0016,efghi_sequence_0011,2,train,8,furnace,low_resource,low_resource,ideal,ideal,ideal,L2_FUR_LL,"C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER]",probe
EFGHI,L2-0014,efghi_sequence_0013,2,train,9,furnace,bad_quality,low_resource,ideal,ideal,ideal,L2_FUR_BL,"R[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L2-0018,efghi_sequence_0017,2,train,10,pipeline,ideal,bad_quality,low_resource,ideal,ideal,L2_PIP_BL,"R[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE]",
EFGHI,L2-0006,efghi_sequence_0029,2,train,11,basin,low_resource,ideal,ideal,ideal,bad_quality,L2_BAS_BL,"R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L2-0011,efghi_sequence_0020,2,train,12,conduit,ideal,ideal,low_resource,bad_quality,ideal,L2_CON_LB,"C[ROUTE, INSULATE, R[FLUID, CATALOG], SEAL]",
EFGHI,L2-0015,efghi_sequence_0012,2,train,13,furnace,low_resource,bad_quality,ideal,ideal,ideal,L2_FUR_LB,"C[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER]",probe
EFGHI,L2-0020,efghi_sequence_0015,2,train,14,pipeline,ideal,low_resource,low_resource,ideal,ideal,L2_PIP_LL,"C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE]",
EFGHI,L2-0013,efghi_sequence_0014,2,test,1,furnace,bad_quality,bad_quality,ideal,ideal,ideal,L2_FUR_BB,"R[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER]",probe
EFGHI,L2-0003,efghi_sequence_0024,2,test,2,archive,ideal,ideal,ideal,low_resource,bad_quality,L2_ARC_LB,"C[R[DRAIN, HEAT, CYCLE], CATALOG]",probe
EFGHI,L2-0012,efghi_sequence_0019,2,test,3,conduit,ideal,ideal,low_resource,low_resource,ideal,L2_CON_LL,"C[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL]",
EFGHI,L2-0017,efghi_sequence_0018,2,test,4,pipeline,ideal,bad_quality,bad_quality,ideal,ideal,L2_PIP_BB,"R[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE]",
EFGHI,L2-0008,efghi_sequence_0027,2,test,5,basin,low_resource,ideal,ideal,ideal,low_resource,L2_BAS_LL,"C[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L2-0005,efghi_sequence_0030,2,test,6,basin,bad_quality,ideal,ideal,ideal,bad_quality,L2_BAS_BB,"R[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L3-0015,efghi_sequence_0064,3,train,1,basin,low_resource,bad_quality,ideal,ideal,low_resource,L3_BAS_LLB,"C[DRAIN, C[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L3-0017,efghi_sequence_0054,3,train,2,conduit,ideal,ideal,bad_quality,bad_quality,bad_quality,L3_CON_BBB,"R[ROUTE, INSULATE, R[R[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0012,efghi_sequence_0067,3,train,3,basin,low_resource,low_resource,ideal,ideal,bad_quality,L3_BAS_BLL,"R[DRAIN, C[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L3-0030,efghi_sequence_0033,3,train,4,furnace,low_resource,bad_quality,low_resource,ideal,ideal,L3_FUR_LBL,"C[R[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0014,efghi_sequence_0065,3,train,5,basin,bad_quality,low_resource,ideal,ideal,low_resource,L3_BAS_LBL,"C[DRAIN, R[C[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",
EFGHI,L3-0005,efghi_sequence_0058,3,train,6,archive,bad_quality,ideal,ideal,low_resource,bad_quality,L3_ARC_LBB,"C[R[DRAIN, R[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",
EFGHI,L3-0006,efghi_sequence_0057,3,train,7,archive,low_resource,ideal,ideal,low_resource,bad_quality,L3_ARC_LBL,"C[R[DRAIN, C[FLOW, IGNITE, SMELT, TEMPER], CYCLE], CATALOG]",probe
EFGHI,L3-0009,efghi_sequence_0070,3,train,8,basin,bad_quality,bad_quality,ideal,ideal,bad_quality,L3_BAS_BBB,"R[DRAIN, R[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L3-0038,efghi_sequence_0041,3,train,9,pipeline,ideal,low_resource,bad_quality,low_resource,ideal,L3_PIP_LBL,"C[PUMP, R[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE]",probe
EFGHI,L3-0011,efghi_sequence_0068,3,train,10,basin,low_resource,bad_quality,ideal,ideal,bad_quality,L3_BAS_BLB,"R[DRAIN, C[R[PUMP, WIRE, PRESSURIZE], IGNITE, SMELT, TEMPER], CYCLE]",probe
EFGHI,L3-0029,efghi_sequence_0034,3,train,11,furnace,low_resource,bad_quality,bad_quality,ideal,ideal,L3_FUR_LBB,"C[R[PUMP, R[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0020,efghi_sequence_0051,3,train,12,conduit,ideal,ideal,bad_quality,low_resource,low_resource,L3_CON_BLL,"R[ROUTE, INSULATE, C[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0032,efghi_sequence_0031,3,train,13,furnace,low_resource,low_resource,low_resource,ideal,ideal,L3_FUR_LLL,"C[C[PUMP, C[ROUTE, INSULATE, DATA, SEAL], PRESSURIZE], IGNITE, SMELT, TEMPER]",
EFGHI,L3-0018,efghi_sequence_0053,3,train,14,conduit,ideal,ideal,bad_quality,bad_quality,low_resource,L3_CON_BBL,"R[ROUTE, INSULATE, R[C[DRAIN, HEAT, CYCLE], CATALOG], SEAL]",
EFGHI,L3-0034,efghi_sequence_0045,3,train,15,pipeline,ideal,bad_quality,bad_quality,low_resource,ideal,L3_PIP_BBL,"R[PUMP, R[ROUTE, INSULATE, C[FLUID, CATALOG], SEAL], PRESSURIZE]",
